,index,set_code,set_name,set_link
215,0,bd5th,バンドリ！ ガールズバンドパーティ！ 5th Anniversary,https://yuyu-tei.jp/sell/ws/s/bd5th#kana
216,0,bdpb2.0,プレミアムブースター バンドリ！ ガールズバンドパーティ！ Countdown Collection,https://yuyu-tei.jp/sell/ws/s/bdpb2.0#kana
217,0,pad,パズル＆ドラゴンズ,https://yuyu-tei.jp/sell/ws/s/pad#kana
218,0,hinaext1.0,「ひなろじ ～from Luck ＆ Logic～」Vol.1 Extra,https://yuyu-tei.jp/sell/ws/s/hinaext1.0#kana
219,0,hinaext2.0,「ひなろじ ～from Luck ＆ Logic～」Vol.2 Extra,https://yuyu-tei.jp/sell/ws/s/hinaext2.0#kana
220,0,vvs,ViVid Strike!,https://yuyu-tei.jp/sell/ws/s/vvs#kana
221,0,vivid,ビビッドレッド・オペレーション,https://yuyu-tei.jp/sell/ws/s/vivid#kana
222,0,pxr,PIXAR CHARACTERS,https://yuyu-tei.jp/sell/ws/s/pxr#kana
223,0,pr,Phantom,https://yuyu-tei.jp/sell/ws/s/pr#kana
224,0,ft,FAIRY TAIL,https://yuyu-tei.jp/sell/ws/s/ft#kana
225,0,ftext1.0,FAIRY TAIL Extra,https://yuyu-tei.jp/sell/ws/s/ftext1.0#kana
226,0,fs,Fate/stay night,https://yuyu-tei.jp/sell/ws/s/fs#kana
227,0,fh,Fate/hollow ataraxia Extra,https://yuyu-tei.jp/sell/ws/s/fh#kana
228,0,fz,Fate/Zero,https://yuyu-tei.jp/sell/ws/s/fz#kana
229,0,fsubw,Fate/stay night [Unlimited Blade Works],https://yuyu-tei.jp/sell/ws/s/fsubw#kana
230,0,fsubw2.0,Fate/stay night [Unlimited Blade Works] Vol.II,https://yuyu-tei.jp/sell/ws/s/fsubw2.0#kana
231,0,fzext,Fate/Zero Extra,https://yuyu-tei.jp/sell/ws/s/fzext#kana
232,0,fshf,劇場版「Fate/stay night [Heaven’s Feel]」,https://yuyu-tei.jp/sell/ws/s/fshf#kana
233,0,fshf2.0,劇場版「Fate/stay night [Heaven’s Feel]」Vol.2,https://yuyu-tei.jp/sell/ws/s/fshf2.0#kana
234,0,fapo,Fate/Apocrypha,https://yuyu-tei.jp/sell/ws/s/fapo#kana
235,0,fgo,Fate/Grand Order -絶対魔獣戦線バビロニア-,https://yuyu-tei.jp/sell/ws/s/fgo#kana
236,0,fgo2.0,劇場版 Fate/Grand Order -神聖円卓領域キャメロット-,https://yuyu-tei.jp/sell/ws/s/fgo2.0#kana
237,0,fujimif,富士見ファンタジア文庫,https://yuyu-tei.jp/sell/ws/s/fujimif#kana
238,0,brext1.0,ブラック★ロックシューター Extra,https://yuyu-tei.jp/sell/ws/s/brext1.0#kana
239,0,bav,ブルーアーカイブ,https://yuyu-tei.jp/sell/ws/s/bav#kana
